Organism/Name,Strain,Genome,TaxID,no rank,superkingdom,phylum,class,order,family,genus,genome_type,evid
Marinobacterium litorale DSM 23545,DSM 23545,GCF_000428985.1,1122201,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,Classical nitrogen-fixing genomes,Yes
Desulfovibrio inopinatus DSM 10711,DSM 10711,GCF_000429305.1,1121453,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Classical nitrogen-fixing genomes,Yes
Azonexus hydrophilus DSM 23864,DSM 23864,GCF_000429605.1,1121032,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Azonexaceae,Azonexus,Classical nitrogen-fixing genomes,Yes
Azospirillum halopraeferens DSM 3675,DSM 3675,GCF_000429625.1,1121033,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Classical nitrogen-fixing genomes,Yes
Niveispirillum irakense DSM 11586,DSM 11586,GCF_000429645.1,1121034,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Niveispirillum,Classical nitrogen-fixing genomes,Yes
Azovibrio restrictus DSM 23866,DSM 23866,GCF_000429665.1,1121035,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azovibrio,Classical nitrogen-fixing genomes,Yes
Desulfatibacillum aliphaticivorans,AK-01,GCF_000021905.1,218208,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfatibacillaceae,Desulfatibacillum,Classical nitrogen-fixing genomes,Yes
Pleomorphomonas oryzae DSM 16300,DSM 16300,GCF_000422965.1,1122963,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Pleomorphomonadaceae,Pleomorphomonas,Classical nitrogen-fixing genomes,Yes
Sporomusa ovata DSM 2662,DSM 2662,GCF_000445445.1,1123288,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Sporomusa,Classical nitrogen-fixing genomes,Yes
Pseudacidovorax intermedius,DSM 21352,GCF_003350475.1,433924,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pseudacidovorax,Classical nitrogen-fixing genomes,Yes
[Clostridium] methoxybenzovorans SR3,SR3,GCF_000421505.1,1286820,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,Classical nitrogen-fixing genomes,Yes
Pleomorphomonas koreensis DSM 23070,DSM 23070,GCF_000425185.1,1122962,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Pleomorphomonadaceae,Pleomorphomonas,Classical nitrogen-fixing genomes,Yes
Derxia gummosa DSM 723,DSM 723,GCF_000482785.1,1121388,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Derxia,Classical nitrogen-fixing genomes,Yes
Pseudodesulfovibrio piezophilus C1TLV30,type strain: C1TLV30,GCF_000341895.1,1322246,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Pseudodesulfovibrio,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium oligotrophicum S58,S58,GCF_000344805.1,1245469,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Mesorhizobium metallidurans STM 2683,STM 2683,GCF_000350085.1,1297569,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Classical nitrogen-fixing genomes,Yes
Dysgonomonas capnocytophagoides,MRSN571793,GCF_004405045.1,45254,cellular organisms,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Classical nitrogen-fixing genomes,Yes
Spirochaeta cellobiosiphila DSM 17781,DSM 17781,GCF_000426705.1,1123275,cellular organisms,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,Classical nitrogen-fixing genomes,Yes
Ruminiclostridium josui JCM 17888,JCM 17888,GCF_000526495.1,1291050,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminiclostridium,Classical nitrogen-fixing genomes,Yes
Clostridium diolis,DSM 15410,GCF_008705175.1,223919,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Classical nitrogen-fixing genomes,Yes
Paenibacillus graminis,DSM 15220,GCF_000758705.1,189425,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Classical nitrogen-fixing genomes,Yes
Clostridium autoethanogenum DSM 10061,DSM 10061,GCF_001484725.1,1341692,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium diazoefficiens,110spc4,GCF_004359355.1,1355477,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Desulfohalovibrio alkalitolerans DSM 16529,DSM 16529,GCF_000422245.1,1121439,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfohalovibrio,Classical nitrogen-fixing genomes,Yes
Rhizobium undicola ORS 992 = ATCC 700741,ATCC 700741,GCF_000621665.1,1370122,Rhizobium/Agrobacterium group,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Allorhizobium,Classical nitrogen-fixing genomes,Yes
Lyngbya aestuarii BL J,BL J,GCF_000478195.2,1348334,cellular organisms,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya,Classical nitrogen-fixing genomes,Yes
Methyloglobulus morosus KoM1,KoM1,GCF_000496735.2,1116472,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methyloglobulus,Classical nitrogen-fixing genomes,Yes
Kosakonia sacchari,BO-1,GCF_001683395.1,1158459,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Classical nitrogen-fixing genomes,Yes
Candidatus Atelocyanobacterium thalassa isolate ALOHA,ALOHA,GCF_000025125.1,1453429,cellular organisms,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Aphanothecaceae,Candidatus Atelocyanobacterium,Classical nitrogen-fixing genomes,Yes
Planktothrix mougeotii LEGE 06226,LEGE 06226,GCF_015207485.1,1828728,cellular organisms,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,Classical nitrogen-fixing genomes,Yes
Magnetococcus marinus MC-1,MC-1,GCF_000014865.1,156889,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Magnetococcales,Magnetococcaceae,Magnetococcus,Classical nitrogen-fixing genomes,Yes
Paraburkholderia sprentiae WSM5005,WSM5005,GCF_001865575.2,754502,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium yuanmingense,P10 130,GCF_004022285.3,108015,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Ensifer sojae CCBAU 05684,CCBAU 05684,GCF_002288525.1,716928,Sinorhizobium/Ensifer group,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Ensifer,Classical nitrogen-fixing genomes,Yes
Rhizobium freirei PRF 81,PRF 81,GCF_000359745.1,363754,Rhizobium/Agrobacterium group,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Classical nitrogen-fixing genomes,Yes
Thermoanaerobacterium aotearoense,SCUT27,GCF_009905255.1,47490,cellular organisms,Bacteria,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterium,Classical nitrogen-fixing genomes,Yes
Paraburkholderia dilworthii,WSM3556,GCF_000472525.1,948106,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Classical nitrogen-fixing genomes,Yes
Halorhodospira halochloris,DSM 1059,GCF_002356555.2,1052,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Halorhodospira,Classical nitrogen-fixing genomes,Yes
Microvirga lotononidis,WSM3557,GCF_000262405.1,864069,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Microvirga,Classical nitrogen-fixing genomes,Yes
Paenibacillus sabinae T27,T27,GCF_000612505.1,1268072,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Classical nitrogen-fixing genomes,Yes
Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832,ATCC 15832,GCF_000621505.1,1121303,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminiclostridium,Classical nitrogen-fixing genomes,Yes
Afifella pfennigii DSM 17143,DSM 17143,GCF_000688515.1,1120956,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Afifellaceae,Afifella,Classical nitrogen-fixing genomes,Yes
Methanobacterium paludis,SWAN1,GCF_000214725.1,868131,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Classical nitrogen-fixing genomes,Yes
Sinorhizobium americanum,CFNEI 73,GCF_001889105.1,194963,Sinorhizobium/Ensifer group,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Classical nitrogen-fixing genomes,Yes
Pelobacter seleniigenes DSM 18267,DSM 18267,GCF_000711225.1,1122946,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,Classical nitrogen-fixing genomes,Yes
Ferrovum myxofaciens,Z-31,GCF_001581915.1,416213,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Ferrovales,Ferrovaceae,Ferrovum,Classical nitrogen-fixing genomes,Yes
Vibrio diazotrophicus,65.7M,GCF_002892925.1,685,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Classical nitrogen-fixing genomes,Yes
Methanosarcina soligelidi,SMA-21,GCF_000744315.1,1036677,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Classical nitrogen-fixing genomes,Yes
Beijerinckia mobilis,UQM 1969,GCF_000745425.1,231434,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Beijerinckia,Classical nitrogen-fixing genomes,Yes
Desulfobacter vibrioformis DSM 8776,DSM 8776,GCF_000745975.1,1121398,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter,Classical nitrogen-fixing genomes,Yes
Methylocapsa aurea,KYG,GCF_000746085.1,663610,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylocapsa,Classical nitrogen-fixing genomes,Yes
Paenibacillus macerans,NCTC6355,GCF_900454495.1,44252,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Classical nitrogen-fixing genomes,Yes
Acidihalobacter prosperus,DSM 5130,GCF_000754095.2,160660,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Acidihalobacter,Classical nitrogen-fixing genomes,Yes
Klebsiella michiganensis,THO-011,GCF_015139575.1,1134687,Klebsiella/Raoultella group,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Classical nitrogen-fixing genomes,Yes
Paenibacillus wynnii,DSM 18334,GCF_000757885.1,268407,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Classical nitrogen-fixing genomes,Yes
Paenibacillus odorifer,DSM 15391,GCF_000758725.1,189426,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Classical nitrogen-fixing genomes,Yes
Tolypothrix bouteillei VB521301,VB521301,GCF_000760695.4,1479485,cellular organisms,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Tolypothrichaceae,Tolypothrix,Classical nitrogen-fixing genomes,Yes
Novosphingobium malaysiense,MUSC 273,GCF_000802225.1,1348853,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Classical nitrogen-fixing genomes,Yes
Methylomonas denitrificans,FJG1,GCF_000785705.2,1538553,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,Classical nitrogen-fixing genomes,Yes
Methylacidiphilum kamchatkense Kam1,kam1,GCF_007475525.1,1202785,cellular organisms,Bacteria,Verrucomicrobiota,Methylacidiphilae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilum,Classical nitrogen-fixing genomes,Yes
Geobacter pickeringii,G13,GCF_000817955.1,345632,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,Classical nitrogen-fixing genomes,Yes
Geoalkalibacter ferrihydriticus,DSM 17813,GCF_900103065.1,392333,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Desulfuromonadales,Geoalkalibacteraceae,Geoalkalibacter,Classical nitrogen-fixing genomes,Yes
cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko,ETSB Lake Yunoko,GCF_000829235.1,1228987,unclassified Cyanobacteriota,Bacteria,Cyanobacteriota,,,,,Classical nitrogen-fixing genomes,Yes
Clostridium aceticum,DSM 1496,GCF_001042715.1,84022,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Classical nitrogen-fixing genomes,Yes
Azospirillum thiophilum,BV-S,GCF_001305595.1,528244,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Classical nitrogen-fixing genomes,Yes
Martelella endophytica,YC6887,GCF_000960975.1,1486262,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Martelella,Classical nitrogen-fixing genomes,Yes
Methanosarcina horonobensis HB-1 = JCM 15518,HB-1,GCF_000970285.1,1434110,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Classical nitrogen-fixing genomes,Yes
Limnoraphis robusta CS-951,CS-951,GCF_000972705.2,1637645,cellular organisms,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Sirenicapillariaceae,Limnoraphis,Classical nitrogen-fixing genomes,Yes
Geofilum rubicundum JCM 15548,JCM 15548,GCF_000974365.1,1236989,cellular organisms,Bacteria,Bacteroidota,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Geofilum,Classical nitrogen-fixing genomes,Yes
Clostridium bornimense,type strain: M2/40,GCF_000577895.1,1216932,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Classical nitrogen-fixing genomes,Yes
Microvirga vignae,BR3299,GCF_001017175.1,1225564,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Microvirga,Classical nitrogen-fixing genomes,Yes
Klebsiella quasipneumoniae,KqPF26,GCF_016415705.1,1463165,Klebsiella/Raoultella group,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Classical nitrogen-fixing genomes,Yes
Desulfosporosinus acididurans,M1,GCF_001029285.1,476652,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfosporosinus,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium pachyrhizi,1040,GCF_009759865.1,280333,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Clostridium homopropionicum,DSM 5847,GCF_900113195.1,36844,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Classical nitrogen-fixing genomes,Yes
Nostoc piscinale CENA21,CENA21,GCF_001298445.1,224013,cellular organisms,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,Classical nitrogen-fixing genomes,Yes
Sphingomonas hengshuiensis,WHSC-8,GCF_000935025.1,1609977,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Classical nitrogen-fixing genomes,Yes
Methylomonas koyamae,Fw12E-Y,GCF_019669905.1,702114,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,Classical nitrogen-fixing genomes,Yes
Rhizobium ecuadorense,CNPSO 671,GCF_001187535.1,1671795,Rhizobium/Agrobacterium group,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Classical nitrogen-fixing genomes,Yes
Rhizobium acidisoli,FH23,GCF_002531755.2,1538158,Rhizobium/Agrobacterium group,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium manausense,BR 3351,GCF_001440035.1,989370,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium jicamae,PAC68,GCF_001440395.1,280332,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium valentinum,LmjM6,GCF_001440385.1,1518501,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium retamae,Ro19,GCF_001440415.1,1300035,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium lablabi,CCBAU 23086,GCF_001440475.1,722472,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Paenibacillus jamilae,NS115,GCF_001477135.1,114136,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Classical nitrogen-fixing genomes,Yes
Mesorhizobium erdmanii,NZP2014,GCF_013170725.1,1777866,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Classical nitrogen-fixing genomes,Yes
Paenibacillus jilunlii,KACC 16679,GCF_010450915.1,682956,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Classical nitrogen-fixing genomes,Yes
Vibrio tritonius,JCM 16456,GCF_001547935.1,1435069,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium viridifuturi,SEMIA 690,GCF_001238275.1,1654716,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Hydrogenophaga flava NBRC 102514,NBRC 102514,GCF_001571145.1,1349752,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Classical nitrogen-fixing genomes,Yes
Anaerotignum neopropionicum,DSM-3847,GCF_001571775.1,36847,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Anaerotignum,Classical nitrogen-fixing genomes,Yes
Magnetospirillum caucaseum,SO-1,GCF_000342045.1,1244869,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Classical nitrogen-fixing genomes,Yes
Marichromatium gracile,DSM 203,GCF_004343155.1,1048,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Marichromatium,Classical nitrogen-fixing genomes,Yes
Hydrogenophaga taeniospiralis CCUG 15921,NBRC 102512,GCF_001592305.1,1281780,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Classical nitrogen-fixing genomes,Yes
Anaerosporomusa subterranea,RU4,GCF_001611555.1,1794912,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Anaerosporomusa,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium embrapense,SEMIA 6208,GCF_001189235.2,630921,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium tropiciagri,SEMIA 6148,GCF_001189845.1,312253,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Paludibacter jiangxiensis,NM7,GCF_001618385.1,681398,cellular organisms,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,Classical nitrogen-fixing genomes,Yes
Clostridium magnum DSM 2767,DSM 2767,GCF_900129955.1,1121326,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Classical nitrogen-fixing genomes,Yes
Paraburkholderia kirstenboschensis,LMG 28727,GCF_904848585.1,1245436,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Classical nitrogen-fixing genomes,Yes
Azospirillum humicireducens,SgZ-5,GCF_001639105.2,1226968,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium neotropicale,BR 10247,GCF_001641695.1,1497615,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium stylosanthis,BR 446,GCF_001641335.1,1803665,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Methylomonas lenta,R-45370,GCF_001644015.1,980561,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,Classical nitrogen-fixing genomes,Yes
Magnetospirillum moscoviense,BB-1,GCF_001650635.1,1437059,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Classical nitrogen-fixing genomes,Yes
Magnetospirillum marisnigri,SP-1,GCF_001650715.1,1285242,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Classical nitrogen-fixing genomes,Yes
Ensifer glycinis,CCBAU 23380,GCF_001651865.1,1472378,Sinorhizobium/Ensifer group,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Ensifer,Classical nitrogen-fixing genomes,Yes
Rhizobium bangladeshense,BLR175,GCF_017357245.1,1138189,Rhizobium/Agrobacterium group,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Classical nitrogen-fixing genomes,Yes
Clostridium ragsdalei P11,P11,GCF_001675165.1,1353534,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Classical nitrogen-fixing genomes,Yes
Azoarcus olearius,DQS-4,GCF_001682385.1,418699,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium icense,LMTR 13,GCF_001693385.1,1274631,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium paxllaeri,LMTR 21,GCF_001693515.2,190148,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Rhizobium favelukesii,LPU83,GCF_000577275.2,348824,Rhizobium/Agrobacterium group,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Classical nitrogen-fixing genomes,Yes
Rhizobium lusitanum,P1-7,GCF_900094565.1,293958,Rhizobium/Agrobacterium group,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Classical nitrogen-fixing genomes,Yes
Kosakonia oryzendophytica,REICA_082,GCF_900094925.1,1005665,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Classical nitrogen-fixing genomes,Yes
Kosakonia oryziphila,REICA_142,GCF_900094795.1,1005667,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Classical nitrogen-fixing genomes,Yes
Paenibacillus kribbensis,AM49,GCF_002240415.1,172713,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Classical nitrogen-fixing genomes,Yes
Candidatus Thiodiazotropha endoloripes,G_C,GCF_001708955.1,1818881,Gammaproteobacteria incertae sedis,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Candidatus Thiodiazotropha,Classical nitrogen-fixing genomes,Yes
Candidatus Thiodiazotropha endolucinida,COS,GCF_001715975.1,1655433,Gammaproteobacteria incertae sedis,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Candidatus Thiodiazotropha,Classical nitrogen-fixing genomes,Yes
Orenia metallireducens,Z6,GCF_001693735.1,1413210,cellular organisms,Bacteria,Bacillota,Clostridia,Halanaerobiales,Halobacteroidaceae,Orenia,Classical nitrogen-fixing genomes,Yes
