test,GCF,main,evid,V1,Organism/Name,Strain,TaxID,no rank,superkingdom,phylum,class,order,family,genus,count,rename_phylum,phylum_size,rename_class,class_size,nifHDK
GCF_010728725.1_ASM1072872v1_protein,GCF_010728725.1,,,7338,Mycobacterium branderi,JCM 12687,43348,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002086635.1_ASM208663v1_protein,GCF_002086635.1,,,7339,Mycobacterium alsense,DSM 45230,324058,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_010730055.1_ASM1073005v1_protein,GCF_010730055.1,,,7340,Mycobacterium shinjukuense,JCM 14233,398694,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002086775.1_ASM208677v1_protein,GCF_002086775.1,,,7341,Mycobacterium timonense,CCUG 56329,701043,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_010725485.1_ASM1072548v1_protein,GCF_010725485.1,,,7342,Mycolicibacterium parafortuitum,JCM 6367,39692,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_014217215.1_ASM1421721v1_protein,GCF_014217215.1,,,7343,Rothia nasimurium,E1706032,85336,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900078545.1_PRJEB13207_protein,GCF_900078545.1,,,7344,Olegusella massiliensis,KHD7,1776381,cellular organisms,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Olegusella,1,Actinomycetota,3249,other class,69,
GCF_001889125.1_ASM188912v1_protein,GCF_001889125.1,,,7363,Janibacter indicus,YFY001,857417,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Janibacter,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900155365.1_PRJEB18748_protein,GCF_900155365.1,,,7368,Collinsella bouchesdurhonensis,Marseille-P3296,1907654,cellular organisms,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,1,Actinomycetota,3249,other class,69,
GCF_002093975.1_ASM209397v1_protein,GCF_002093975.1,,,7372,Thermoactinospora rubra,YIM 77501,1088767,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Thermoactinospora,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900119895.1_PRJEB18019_protein,GCF_900119895.1,,,7377,Collinsella phocaeensis,Marseille-P3245,1871016,cellular organisms,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,1,Actinomycetota,3249,other class,69,
GCF_002096055.1_ASM209605v1_protein,GCF_002096055.1,,,7386,Cnuibacter physcomitrellae,XA(T),1619308,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Cnuibacter,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_010730355.1_ASM1073035v1_protein,GCF_010730355.1,,,7391,Mycobacterium florentinum,JCM 14740,292462,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002101585.1_ASM210158v1_protein,GCF_002101585.1,,,7392,Mycolicibacter engbaekii,ATCC 27353,188915,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacter,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_010729485.1_ASM1072948v1_protein,GCF_010729485.1,,,7393,Mycolicibacter hiberniae,JCM 13571,29314,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacter,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002101815.1_ASM210181v1_protein,GCF_002101815.1,,,7394,Mycobacterium paraense,IEC26,767916,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_014263315.1_ASM1426331v1_protein,GCF_014263315.1,,,7395,Mycobacterium kubicae,NJH_MKUB1,120959,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_010723225.1_ASM1072322v1_protein,GCF_010723225.1,,,7396,Mycolicibacter senuensis,JCM 16017,386913,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacter,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900187145.1_50818_H01_protein,GCF_900187145.1,,,7397,Mycolicibacter terrae,NCTC10856,1788,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacter,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002101875.1_ASM210187v1_protein,GCF_002101875.1,,,7398,Mycobacterium saskatchewanense,DSM 44616,220927,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002101785.1_ASM210178v1_protein,GCF_002101785.1,,,7399,Mycobacterium palustre,DSM 44572,153971,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_010726955.1_ASM1072695v1_protein,GCF_010726955.1,,,7400,Mycolicibacterium fallax,JCM 6405,1793,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_010729895.1_ASM1072989v1_protein,GCF_010729895.1,,,7401,Mycolicibacterium confluentis,JCM 13671,28047,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_010728155.1_ASM1072815v1_protein,GCF_010728155.1,,,7402,Mycobacterium doricum,JCM 12405,126673,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_010730195.1_ASM1073019v1_protein,GCF_010730195.1,,,7403,Mycobacterium conspicuum,JCM 14738,44010,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_905219535.1_MR226_protein,GCF_905219535.1,,,7404,Mycobacterium riyadhense,MR-226,486698,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002102185.1_ASM210218v1_protein,GCF_002102185.1,,,7405,Mycobacterium fragae,DSM 45731,1260918,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002102265.1_ASM210226v1_protein,GCF_002102265.1,,,7406,Mycolicibacter longobardus,DSM 45394,1108812,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacter,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_010731535.1_ASM1073153v1_protein,GCF_010731535.1,,,7407,Mycobacterium lacus,JCM 15657,169765,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_010730575.1_ASM1073057v1_protein,GCF_010730575.1,,,7410,Mycobacterium parmense,JCM 14742,185642,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_004328535.1_ASM432853v1_protein,GCF_004328535.1,,,7411,Kocuria indica,CE7,1049583,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_010731835.1_ASM1073183v1_protein,GCF_010731835.1,,,7421,Mycobacterium koreense,JCM 19956,1069220,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacillus,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900177745.1_IMG-taxon_2708742385_annotated_assembly_protein,GCF_900177745.1,,,7432,Corynebacterium pollutisoli,VDS11,1610489,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900177685.1_IMG-taxon_2708742395_annotated_assembly_protein,GCF_900177685.1,,,7433,Agreia pratensis,VKM Ac-2510,150121,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Agreia,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900002405.1_AAM4_protein,GCF_900002405.1,,,7439,Actinomyces succiniciruminis,AM4,1522002,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900176865.1_PRJEB20393_protein,GCF_900176865.1,,,7449,Corynebacterium fournieri,Marseille-P2948,1852390,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_008704855.1_ASM870485v1_protein,GCF_008704855.1,,,7473,Streptomyces platensis,ATCC 23948,58346,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002259705.1_ASM225970v1_protein,GCF_002259705.1,,,7481,Alloscardovia macacae,DSM 24762,1160091,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002148965.1_ASM214896v1_protein,GCF_002148965.1,,,7492,Streptomyces swartbergensis,HMC13,487165,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002149015.1_ASM214901v1_protein,GCF_002149015.1,,,7493,Gordonia lacunae,BS2,417102,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002150845.1_ASM215084v1_protein,GCF_002150845.1,,,7494,Streptomyces alboverticillatus,NRRL B-24281,173770,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900096585.1_IMG-taxon_2657245272_annotated_assembly_protein,GCF_900096585.1,,,7498,Sanguibacter gelidistatuariae,ISLP-3,1814289,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Sanguibacteraceae,Sanguibacter,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002154385.1_ASM215438v1_protein,GCF_002154385.1,,,7500,Streptomyces albovinaceus,NRRL B-2566,66867,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002150735.1_ASM215073v1_protein,GCF_002150735.1,,,7501,Streptomyces africanus,NRRL B-24243,231024,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002150765.1_ASM215076v1_protein,GCF_002150765.1,,,7502,Lentzea kentuckyensis,NRRL B-24416,360086,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Lentzea,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_019933235.1_ASM1993323v1_protein,GCF_019933235.1,,,7503,Streptomyces angustmyceticus,JCM 4053,285578,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_020521275.1_ASM2052127v1_protein,GCF_020521275.1,,,7504,Streptomyces daghestanicus,NBRC 12762,66885,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_008312845.1_ASM831284v1_protein,GCF_008312845.1,,,7505,Streptomyces cacaoi,OABC16,1898,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002154505.1_ASM215450v1_protein,GCF_002154505.1,,,7506,Streptomyces carpinensis,NRRL B-16921,66369,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_016467295.1_ASM1646729v1_protein,GCF_016467295.1,,,7507,Streptomyces murinus,Am1,33900,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002154575.1_ASM215457v1_protein,GCF_002154575.1,,,7508,Streptomyces bobili,NRRL B-1338,67280,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002154615.1_ASM215461v1_protein,GCF_002154615.1,,,7509,Streptomyces recifensis,NRRL B-3811,67355,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002154605.1_ASM215460v1_protein,GCF_002154605.1,,,7510,Streptomyces milbemycinicus,NRRL 5739,476552,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002154675.1_ASM215467v1_protein,GCF_002154675.1,,,7511,Streptomyces reticuliscabiei,NRRL B-24446,146821,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002155915.1_ASM215591v1_protein,GCF_002155915.1,,,7514,Streptomyces thermovulgaris,NRRL B-12375,1934,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002155905.1_ASM215590v1_protein,GCF_002155905.1,,,7515,Streptomyces tricolor,NRRL B-16925,68277,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_017942185.1_ASM1794218v1_protein,GCF_017942185.1,,,7516,Streptomyces rhizosphaericus,DSM 41760,114699,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002155975.1_ASM215597v1_protein,GCF_002155975.1,,,7517,Amycolatopsis kentuckyensis,NRRL B-24129,218823,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_014873755.1_ASM1487375v1_protein,GCF_014873755.1,,,7518,Amycolatopsis lexingtonensis,DSM 44653,218822,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900631605.1_NCTC2676_1_2_protein,GCF_900631605.1,,,7533,Arthrobacter agilis,NCTC2676_1,37921,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_016907315.1_ASM1690731v1_protein,GCF_016907315.1,,,7537,Microbacterium esteraromaticum,DSM 8609,57043,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_016107685.1_ASM1610768v1_protein,GCF_016107685.1,,,7538,Brevibacterium yomogidense,DSM 24850,946573,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,Brevibacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002860725.1_ASM286072v1_protein,GCF_002860725.1,,,7542,Actinotignum timonense,UMB0086,1870995,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinotignum,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900155535.1_ASM90015553v1_protein,GCF_900155535.1,,,7543,Corynebacterium urinipleomorphum,Marseille-P2799,1852380,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_902386925.1_UHGG_MGYG-HGUT-02413_protein,GCF_902386925.1,,,7546,Arabiibacter massiliensis,MGYG-HGUT-02413,1870985,cellular organisms,Bacteria,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Arabiibacter,1,Actinomycetota,3249,other class,69,
GCF_001302565.1_ASM130256v1_protein,GCF_001302565.1,,,7547,Glutamicibacter halophytocola,KLBMP 5180,1933880,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Glutamicibacter,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_019731765.1_ASM1973176v1_protein,GCF_019731765.1,,,7550,Gordonibacter massiliensis,K34_2,1841863,cellular organisms,Bacteria,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Gordonibacter,1,Actinomycetota,3249,other class,69,
GCF_002159895.1_ASM215989v1_protein,GCF_002159895.1,Incomplete nitrogen-fixing genomes,,7551,Gordonibacter urolithinfaciens,An234A,1335613,cellular organisms,Bacteria,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Gordonibacter,1,Actinomycetota,3249,other class,69,
GCF_900184245.1_PRJEB13137_protein,GCF_900184245.1,,,7556,Brachybacterium massiliense,mt5,1755098,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Dermabacteraceae,Brachybacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_021228305.1_ASM2122830v1_protein,GCF_021228305.1,,,7575,Streptomyces albireticuli,NRRL B1670 type B,1940,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002210435.1_ASM221043v1_protein,GCF_002210435.1,,,7604,Micromonospora wenchangensis,CCTCC AA 2012002,1185415,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900187395.1_IMG-taxon_2734482797_annotated_assembly_protein,GCF_900187395.1,,,7611,Kytococcus aerolatus,DSM 22179,592308,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Kytococcaceae,Kytococcus,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_001687305.1_ASM168730v1_protein,GCF_001687305.1,,,7620,Actinomyces vulturis,VUL7,1857645,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_001907275.1_ASM190727v1_protein,GCF_001907275.1,,,7623,Boudabousia liubingyangii,VUL4_2,1921764,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Boudabousia,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002086915.1_ASM208691v1_protein,GCF_002086915.1,,,7624,Mycobacterium persicum,12MK,1487726,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900091495.1_IMG-taxon_2622736613_annotated_assembly_protein,GCF_900091495.1,,,7639,Micromonospora echinospora,DSM 43816,1877,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900090275.1_IMG-taxon_2617270899_annotated_assembly_protein,GCF_900090275.1,,,7640,Micromonospora zamorensis,DSM 45600,709883,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900090235.1_IMG-taxon_2623620557_annotated_assembly_protein,GCF_900090235.1,,,7641,Micromonospora echinaurantiaca,DSM 43904,47857,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900090305.1_IMG-taxon_2634166273_annotated_assembly_protein,GCF_900090305.1,,,7642,Micromonospora siamensis,DSM 45097,299152,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900091545.1_IMG-taxon_2636416073_annotated_assembly_protein,GCF_900091545.1,,,7643,Micromonospora viridifaciens,DSM 43909,1881,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900090285.1_IMG-taxon_2623620396_annotated_assembly_protein,GCF_900090285.1,,,7644,Micromonospora inositola,DSM 43819,47865,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900091445.1_IMG-taxon_2623620567_annotated_assembly_protein,GCF_900091445.1,,,7645,Micromonospora echinofusca,DSM 43913,47858,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900090295.1_IMG-taxon_2623620609_annotated_assembly_protein,GCF_900090295.1,,,7646,Micromonospora coxensis,DSM 45161,356852,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900091455.1_IMG-taxon_2623620612_annotated_assembly_protein,GCF_900091455.1,,,7647,Micromonospora coriariae,DSM 44875,285665,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002217755.1_ASM221775v1_protein,GCF_002217755.1,,,7655,Streptomyces hyaluromycini,NBRC 110483,1377993,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900188485.1_IMG-taxon_2675903059_annotated_assembly_protein,GCF_900188485.1,,,7672,Asanoa hainanensis,CGMCC 4.5593,560556,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Asanoa,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900188005.1_IMG-taxon_2724679777_annotated_assembly_protein,GCF_900188005.1,,,7674,Actinoplanes regularis,DSM 43151,52697,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Actinoplanes,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900188375.1_IMG-taxon_2700988693_annotated_assembly_protein,GCF_900188375.1,,,7677,Geodermatophilus pulveris,DSM 46839,1564159,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900188345.1_IMG-taxon_2671180041_annotated_assembly_protein,GCF_900188345.1,,,7678,Streptosporangium subroseum,CGMCC 4.2132,106412,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Streptosporangium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900188205.1_IMG-taxon_2622736631_annotated_assembly_protein,GCF_900188205.1,,,7686,Geodermatophilus saharensis,DSM 45423,1137994,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900188105.1_IMG-taxon_2724679706_annotated_assembly_protein,GCF_900188105.1,,,7689,Actinomadura mexicana,DSM 44485,134959,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinomadura,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900188115.1_IMG-taxon_2724679784_annotated_assembly_protein,GCF_900188115.1,,,7692,Haloechinothrix alba,DSM 45207,664784,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Haloechinothrix,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900188405.1_IMG-taxon_2671180020_annotated_assembly_protein,GCF_900188405.1,,,7693,Streptomyces glauciniger,CGMCC 4.1858,235986,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Actinacidiphila,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900188445.1_IMG-taxon_2700988714_annotated_assembly_protein,GCF_900188445.1,,,7695,Actinomadura meyerae,DSM 44715,240840,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinomadura,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002234405.1_ASM223440v1_protein,GCF_002234405.1,,,7714,Amycolatopsis thailandensis,JCM 16380,589330,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002234535.1_ASM223453v1_protein,GCF_002234535.1,,,7715,Actinoalloteichus hoggarensis,DSM 45943,1470176,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002250565.1_ASM225056v1_protein,GCF_002250565.1,,,7745,Parenemella sanctibonifatiensis,NML 150081,2016505,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Parenemella,1,Actinomycetota,3249,Actinomycetes,3141,
